Date,AAPL,AMZN,GOOGL,META,MSFT
2018-02-28 00:00:00+00:00,0.06818514480769466,0.04242906360200127,-0.06623134322323299,-0.045855725242350154,-0.008415231093409137
2018-03-31 00:00:00+00:00,-0.05805061785430066,-0.04304936888568922,-0.06049353035564342,-0.10391441298395887,-0.026660770992305127
2018-04-30 00:00:00+00:00,-0.015019972016869887,0.08207479647163018,-0.017895311967775607,0.0764128406114537,0.02465196033137773
2018-05-31 00:00:00+00:00,0.1351240334171,0.04053941088038626,0.07993479381472324,0.11500001557167394,0.061467169890798035
2018-06-30 00:00:00+00:00,-0.009418251151988133,0.043065192317739864,0.026536354703039056,0.013244282113320072,-0.0023267185103200694
2018-07-31 00:00:00+00:00,0.027983419843492507,0.04567600755093726,0.08681443956672608,-0.11187733657658383,0.07575262400354021
2018-08-31 00:00:00+00:00,0.20042209486130624,0.13236448128539746,0.003732031151550741,0.018252431592734153,0.06299303520356192
2018-09-30 00:00:00+00:00,-0.008303027254541906,-0.004824306834253944,-0.02006815158160513,-0.06413242559921684,0.018160600782410885
2018-10-31 00:00:00+00:00,-0.03047741062250875,-0.20219175018307878,-0.09651395608768265,-0.07704004682060173,-0.06610127806539512
2018-11-30 00:00:00+00:00,-0.18119783069340545,0.05767175245241973,0.017486115223482646,-0.07365438550782388,0.04268397959959547
2018-12-31 00:00:00+00:00,-0.11669827950274703,-0.11134970006404432,-0.05829763409382882,-0.06770501411995078,-0.08404739604205413
2019-01-31 00:00:00+00:00,0.05515414867333068,0.14431709005232074,0.07744789835719512,0.27156914652975805,0.028157868134841557
2019-02-28 00:00:00+00:00,0.044776636002461734,-0.04590598487961817,0.0005862447552154038,-0.03143561945141504,0.07735782807980862
2019-03-31 00:00:00+00:00,0.09702563294992972,0.08593570731353273,0.04468505396401934,0.03245589047329012,0.05275352408173983
2019-04-30 00:00:00+00:00,0.056435886820550785,0.08185874546916994,0.018752855377988764,0.16023757453470422,0.10734263213602535
2019-05-31 00:00:00+00:00,-0.12421306804324594,-0.07861319674779288,-0.07711681510407631,-0.08236810253378768,-0.04948049666750676
2019-06-30 00:00:00+00:00,0.13051943055647341,0.06679174655008091,-0.021418932939359592,0.08750766767269513,0.08311766338796511
2019-07-31 00:00:00+00:00,0.07639439004140613,-0.014179183493694736,0.12504623017470706,0.006373112393272207,0.017244015763331788
2019-08-31 00:00:00+00:00,-0.016461145984758785,-0.048473822697145064,-0.022713877011646066,-0.04407152651040547,0.01503668130170488
2019-09-30 00:00:00+00:00,0.07296154911902342,-0.022732743159706414,0.025711213261286447,-0.040878974824470005,0.008486738811536831
2019-10-31 00:00:00+00:00,0.11068441462450584,0.023474701269111886,0.03084004193611367,0.07620171753676663,0.03121655537321355
2019-11-30 00:00:00+00:00,0.0775542996355556,0.013587301227403925,0.035978722112812944,0.05212632756470459,0.05946198614071663
2019-12-31 00:00:00+00:00,0.09878365863894634,0.026121694264473083,0.027068607195414485,0.017903134957534483,0.04174931960865913
2020-01-31 00:00:00+00:00,0.054010215509538106,0.0870638027865227,0.06972589760972414,-0.016272826140855012,0.07945481358118034
2020-02-29 00:00:00+00:00,-0.11470187695532053,-0.06221372013363058,-0.06527877451483843,-0.046753450329774515,-0.04568823549657619
2020-03-31 00:00:00+00:00,-0.06976125181110648,0.035020571318223226,-0.13238745668445684,-0.1333714222100295,-0.026541336958461614
2020-04-30 00:00:00+00:00,0.15537374235423473,0.2689001176660717,0.1589998955391394,0.22727818669404143,0.13632593748212996
2020-05-31 00:00:00+00:00,0.08509405893710187,-0.012784941240091774,0.06446868689255125,0.0995554368651641,0.02539127097315097
2020-06-30 00:00:00+00:00,0.14738630763926386,0.12956672853391127,-0.010791642884482533,0.008796497665057856,0.11055925458413074
2020-07-31 00:00:00+00:00,0.16513175717714446,0.1471136218500213,0.04929303306650845,0.11714444607180252,0.007370723687179392
2020-08-31 00:00:00+00:00,0.21656930870301005,0.09046103369298208,0.09515117284865693,0.15583247705391368,0.10275192257371701
2020-09-30 00:00:00+00:00,-0.10252645389726367,-0.08757859185260553,-0.10059964835899304,-0.10675320694646828,-0.06739680773859147
2020-10-31 00:00:00+00:00,-0.06001198864557156,-0.03575408533520552,0.1026951547248991,0.0046201709010929015,-0.03736959527636685
2020-11-30 00:00:00+00:00,0.09549337139847514,0.043439868865324804,0.08556969750719756,0.05267756885180375,0.060060254743161456
2020-12-31 00:00:00+00:00,0.11457355042022588,0.028058383014484267,-0.0010031182547817208,-0.013755967972181926,0.039005863287398856
2021-01-31 00:00:00+00:00,-0.0055016266766751976,-0.01557601223652838,0.04263269926654756,-0.0542905577049313,0.04289202101666878
2021-02-28 00:00:00+00:00,-0.0797119415595775,-0.03532841376742368,0.10646510753833538,-0.0027483702620532124,0.004117991681700239
2021-03-31 00:00:00+00:00,0.007339605800783078,0.00037178414851712915,0.020085021560275917,0.14327288117227033,0.014588028906853623
2021-04-30 00:00:00+00:00,0.07621813955292955,0.12066273709568343,0.14107982293082588,0.1037246522022488,0.06960185568148458
2021-05-31 00:00:00+00:00,-0.05049742791350209,-0.07047025525869377,0.0014233903989393504,0.011227989561445995,-0.0076273301913517555
2021-06-30 00:00:00+00:00,0.09910964265755062,0.06735498737093981,0.036039642516404236,0.05773729085247914,0.08498884725582956
2021-07-31 00:00:00+00:00,0.06498223778295942,-0.032722282722282725,0.10350606039420684,0.0247045703714881,0.05171647678318081
2021-08-31 00:00:00+00:00,0.042489003025486305,0.043034169499993835,0.07400915138663344,0.06477685804296507,0.06159092515294318
2021-09-30 00:00:00+00:00,-0.06803651292996815,-0.05351810876292584,-0.07616926187846429,-0.10540876922652409,-0.06611880049724195
2021-10-31 00:00:00+00:00,0.058657119064887686,0.02660245759664326,0.10749871466266381,-0.04661307237502155,0.1762907794638069
2021-11-30 00:00:00+00:00,0.10508198140685976,0.039923701306487036,-0.041530930237580144,0.00275056631810644,-0.0012820896456487985
2021-12-31 00:00:00+00:00,0.07422864390790296,-0.04925196878828486,0.02082127543746659,0.036645506269345596,0.017332886833072214
2022-01-31 00:00:00+00:00,-0.015712244109391538,-0.10282991021845667,-0.06591892431886048,-0.06864873896475854,-0.07534484315614964
2022-02-28 00:00:00+00:00,-0.054065737158967564,0.026672518265588474,-0.0018218616158459655,-0.32634230302840794,-0.03721215448540738
2022-03-31 00:00:00+00:00,0.057473280564427576,0.061437285030015776,0.029694878365991606,0.05368905077525565,0.0318618393568606
2022-04-30 00:00:00+00:00,-0.09713084685208351,-0.2375250931362105,-0.17946687292716557,-0.0984439846234122,-0.09986705335312274
2022-05-31 00:00:00+00:00,-0.054495934199751406,-0.03276431760316645,-0.003045252639210072,-0.034069917893289725,-0.01807730946426167
2022-06-30 00:00:00+00:00,-0.08142988699312359,-0.11645921262241288,-0.04218463912839043,-0.16726923182407116,-0.055320513796086046
2022-07-31 00:00:00+00:00,0.18863361055866923,0.27059597129750057,0.0675184182745221,-0.013333197924023432,0.09309664875854207
2022-08-31 00:00:00+00:00,-0.03120773097496965,-0.06061504624052039,-0.0696355018293554,0.024072772404234666,-0.0666629655202754
2022-09-30 00:00:00+00:00,-0.1209770515354256,-0.10862189009783763,-0.11615225192276091,-0.16724973315584746,-0.10926693015463429
2022-10-31 00:00:00+00:00,0.10955138212137228,-0.09345130582826322,-0.011918452399514834,-0.31338435361872086,-0.0033061053549749975
2022-11-30 00:00:00+00:00,-0.03302762022487604,-0.05759470309709913,0.06856412028890135,0.26771129062279697,0.10222288019363623
2022-12-31 00:00:00+00:00,-0.12227243257888776,-0.1298943525647971,-0.1263491000824355,0.018966982405065558,-0.06004541669563446
